21

| auth_classification_id | challenge_id | classification_type_id |
| ---------------------- | ------------ | ---------------------- |
| 1                      | 1            | 1                      |
| 2                      | 2            | 2                      |
| 3                      | 3            | 3                      |
| 4                      | 5            | 4                      |
| 5                      | 7            | 1                      |
| 6                      | 8            | 2                      |
| 7                      | 9            | 3                      |
| 8                      | 11           | 4                      |
| 9                      | 13           | 1                      |
| 10                     | 14           | 2                      |
| 11                     | 15           | 3                      |
| 12                     | 17           | 4                      |
| 13                     | 21           | 1                      |
| 14                     | 22           | 2                      |
| 15                     | 23           | 3                      |
| 16                     | 25           | 4                      |
| 17                     | 30           | 4                      |
| 18                     | 31           | 4                      |
| 19                     | 32           | 4                      |
| 20                     | 33           | 4                      |
| 21                     | 34           | 4                      |
