107

| participation_id | user_id | challenge_id | feed_cnt |
| ---------------- | ------- | ------------ | -------- |
| 1                | 1       | 1            | 20       |
| 2                | 1       | 4            | 19       |
| 3                | 1       | 19           | 19       |
| 4                | 1       | 20           | 20       |
| 5                | 2       | 1            | 20       |
| 6                | 3       | 1            | 18       |
| 7                | 4       | 1            | 17       |
| 8                | 3       | 4            | 20       |
| 9                | 5       | 4            | 20       |
| 10               | 6       | 4            | 19       |
| 11               | 2       | 19           | 19       |
| 12               | 5       | 19           | 18       |
| 13               | 7       | 19           | 16       |
| 14               | 3       | 20           | 20       |
| 15               | 4       | 20           | 20       |
| 16               | 9       | 22           | 31       |
| 17               | 1       | 25           | 31       |
| 18               | 1       | 27           | 30       |
| 19               | 9       | 28           | 26       |
| 20               | 2       | 22           | 25       |
| 21               | 3       | 22           | 31       |
| 22               | 4       | 22           | 31       |
| 23               | 3       | 25           | 30       |
| 24               | 5       | 25           | 30       |
| 25               | 6       | 27           | 30       |
| 26               | 2       | 28           | 28       |
| 27               | 5       | 28           | 31       |
| 28               | 1       | 29           | 0     |
| 29               | 1       | 30           | 0     |
| 30               | 2       | 29           | 0     |
| 31               | 5       | 7            | 18    |
| 32               | 6       | 7            | 18    |
| 33               | 7       | 7            | 17    |
| 34               | 8       | 7            | 16    |
| 35               | 9       | 13           | 20    |
| 36               | 10      | 13           | 20    |
| 37               | 11      | 13           | 20    |
| 38               | 12      | 13           | 19    |
| 39               | 2       | 2            | 18    |
| 40               | 4       | 2            | 16    |
| 41               | 6       | 2            | 14    |
| 42               | 8       | 2            | 19    |
| 43               | 3       | 8            | 19    |
| 44               | 5       | 8            | 19    |
| 45               | 7       | 8            | 19    |
| 46               | 9       | 8            | 18    |
| 47               | 4       | 14           | 17    |
| 48               | 6       | 14           | 20    |
| 49               | 8       | 14           | 20    |
| 50               | 10      | 14           | 11    |
| 51               | 13      | 3            | 16    |
| 52               | 14      | 3            | 20    |
| 53               | 15      | 3            | 16    |
| 54               | 16      | 3            | 20    |
| 55               | 17      | 9            | 10    |
| 56               | 18      | 9            | 8     |
| 57               | 19      | 9            | 20    |
| 58               | 20      | 9            | 20    |
| 59               | 21      | 15           | 19    |
| 60               | 22      | 15           | 20    |
| 61               | 23      | 15           | 19    |
| 62               | 24      | 15           | 19    |
| 63               | 2       | 10           | 20    |
| 64               | 7       | 10           | 2     |
| 65               | 9       | 10           | 20    |
| 66               | 10      | 10           | 20    |
| 67               | 4       | 16           | 19    |
| 68               | 8       | 16           | 18    |
| 69               | 11      | 16           | 16    |
| 70               | 12      | 16           | 12    |
| 71               | 13      | 5            | 14    |
| 72               | 15      | 5            | 14    |
| 73               | 17      | 5            | 20    |
| 74               | 19      | 5            | 18    |
| 75               | 14      | 11           | 18    |
| 76               | 16      | 11           | 18    |
| 77               | 18      | 11           | 20    |
| 78               | 20      | 11           | 20    |
| 79               | 21      | 17           | 14    |
| 80               | 22      | 17           | 15    |
| 81               | 23      | 17           | 11    |
| 82               | 24      | 17           | 2     |
| 83               | 13      | 6            | 20    |
| 84               | 16      | 6            | 20    |
| 85               | 19      | 6            | 18    |
| 86               | 22      | 6            | 10    |
| 87               | 14      | 12           | 18    |
| 88               | 17      | 12           | 18    |
| 89               | 20      | 12           | 16    |
| 90               | 23      | 12           | 14    |
| 91               | 15      | 18           | 18    |
| 92               | 18      | 18           | 20    |
| 93               | 21      | 18           | 20    |
| 94               | 24      | 18           | 14    |
| 95               | 2       | 21           | 16    |
| 96               | 7       | 21           | 21    |
| 97               | 11      | 21           | 30    |
| 98               | 3       | 23           | 18    |
| 99               | 8       | 23           | 22    |
| 100              | 10      | 23           | 28    |
| 101              | 2       | 24           | 22    |
| 102              | 13      | 24           | 24    |
| 103              | 15      | 24           | 28    |
| 104              | 17      | 24           | 28    |
| 105              | 4       | 26           | 30    |
| 106              | 14      | 26           | 29    |
| 107              | 24      | 26           | 29    |
